DateTime,Soil Moisture,Total Evapotranspiration,area under spi range,min tempr,max tempr,rainfall,accumulated rainfall
10/20/2023 0:00,267.0954,3.0703,1600,0.8162,15.6237,4.6091,5.2962
10/31/2023 0:00,262.9407,2.6691,625,-0.6707,14.2755,1.5076,6.8038
11/10/2023 0:00,238.3326,2.0335,1600,-1.2349,13.9645,0.1409,6.9447
11/20/2023 0:00,229.9119,1.6677,1600,-1.1484,13.7482,0.1248,7.0695
11/30/2023 0:00,222.7712,1.3998,500,-2.3831,12.9582,0.6288,7.6983
12/10/2023 0:00,219.6903,1.276,450,-4.4231,10.8281,0.8447,8.543
12/20/2023 0:00,219.5363,1.1588,1600,-6.6578,10.7156,0.566,9.109
12/31/2023 0:00,217.8746,1.2367,1600,-3.3601,13.0185,1.1759,10.2849
1/10/2024 0:00,211.9611,0.981,1600,-6.8727,9.0894,0,10.2849
1/20/2024 0:00,203.4795,0.88,1200,-6.2195,10.656,0,10.2849
1/31/2024 0:00,197.3934,0.785,1375,-8.2863,7.824,0,10.2849
2/10/2024 0:00,198.1951,0.8535,1600,-8.867,7.7417,0.0381,10.323
2/20/2024 0:00,191.3327,1.0515,1600,-5.1463,11.2166,0.6161,10.9391
2/29/2024 0:00,183.8982,0.9306,1600,-8.4299,7.1511,0.0078,10.9469
3/10/2024 0:00,196.2086,1.4286,100,-5.6532,9.8882,1.4243,12.3712
3/20/2024 0:00,183.6151,1.2914,25,-3.7733,13.3557,0,12.3712
3/31/2024 0:00,173.4735,1.3014,1575,-0.2554,15.6987,0.4144,12.7856
4/10/2024 0:00,170.2547,1.3476,0,-0.413,16.6207,0.0232,12.8088
4/20/2024 0:00,155.3053,1.1444,0,0.9174,18.1119,0,12.8088
4/30/2024 0:00,144.4215,1.0975,0,0.6347,19.4432,0.0057,12.8145
5/10/2024 0:00,140.7202,1.2556,1475,1.6285,19.6104,0.0058,12.8203
5/20/2024 0:00,138.1303,1.3246,1600,4.66,20.2536,0,12.8203
5/31/2024 0:00,128.7218,1.4088,1600,7.4812,21.5995,0,12.8203
6/10/2024 0:00,120.5452,1.3752,1400,5.9983,22.6486,0,12.8203
6/20/2024 0:00,114.9117,1.4954,1100,7.9731,26.5456,0.1467,12.967
6/30/2024 0:00,136.0351,2.1707,1600,10.166,21.7339,0.2273,13.1943
7/10/2024 0:00,201.4006,1.9504,1175,10.6411,18.8168,0.8161,14.0104
7/20/2024 0:00,230.2099,3.7844,750,10.3548,21.5526,4.2731,18.2835
7/31/2024 0:00,203.826,2.7947,0,11.6395,22.4498,0.4769,18.7604
8/10/2024 0:00,246.0206,3.5315,1575,10.5395,20.0367,2.9646,21.725
8/20/2024 0:00,242.5213,3.5377,1600,10.509,21.2136,2.0422,23.7672
8/31/2024 0:00,279.0445,3.6171,1600,9.0264,19.3708,1.3837,25.1509
